Time,"Temp:Edge,0","Temp:Tctl,0",Frequency:Avg,Frequency:Core 0,Frequency:Core 1,Frequency:Core 2,Frequency:Core 3,Frequency:Core 4,Frequency:Core 5,Frequency:Core 6,Frequency:Core 7,Frequency:Core 8,Frequency:Core 9,Frequency:Core 10,Frequency:Core 11,Util:Avg,Util:Core 0,Util:Core 1,Util:Core 2,Util:Core 3,Util:Core 4,Util:Core 5,Util:Core 6,Util:Core 7,Util:Core 8,Util:Core 9,Util:Core 10,Util:Core 11
2025-06-25_16:06:48,37.0,66.9,5251.6,5251.6,5251.6,5251.6,5251.6,5251.6,5251.5,5251.5,5251.4,5251.4,5251.4,5251.4,5251.4,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2025-06-25_16:06:50,37.0,66.9,5248.9,5248.9,5248.9,5248.9,5248.9,5248.9,5248.9,5248.9,5248.9,5248.9,5248.8,5248.9,5248.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2025-06-25_16:06:52,37.0,67.1,5269.2,5269.5,5269.5,5269.5,5266.2,5269.5,5269.5,5269.5,5269.5,5269.5,5269.5,5269.5,5269.5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2025-06-25_16:06:54,37.0,67.1,5250.1,5243.6,5243.6,5243.6,5239.8,5243.6,5243.6,5243.5,5243.6,5243.6,5243.6,5243.6,5243.6,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2025-06-25_16:06:56,37.0,67.0,5249.2,5250.6,5250.7,5250.7,5248.4,5250.7,5250.6,5250.7,5250.6,5250.7,5250.7,5250.7,5250.6,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2025-06-25_16:06:58,37.0,67.2,5251.6,5251.6,5251.6,5251.6,5251.6,5251.6,5251.6,5251.6,5251.6,5251.6,5251.6,5251.6,5251.6,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2025-06-25_16:07:00,37.0,67.1,5240.2,5240.2,5240.2,5240.2,5240.2,5240.2,5240.2,5240.2,5240.2,5240.2,5240.2,5240.2,5240.2,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2025-06-25_16:07:02,37.0,67.2,5252.3,5252.3,5252.3,5252.3,5252.2,5252.3,5252.3,5252.2,5252.2,5252.2,5252.3,5252.3,5252.3,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2025-06-25_16:07:04,35.0,60.0,3180.6,3154.0,3007.0,3917.9,3745.4,3007.0,3007.0,3294.1,3007.0,3007.0,3007.0,3007.0,3007.0,5.7,5.0,5.5,5.0,5.0,5.0,5.5,5.5,5.0,5.5,10.0,5.0,5.5
2025-06-25_16:07:06,35.0,54.0,3202.2,3007.0,3614.3,3007.0,4135.1,3007.0,3007.0,3614.6,3007.0,3007.0,3007.0,3007.0,3007.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
