Time,"Temp:Edge,0","Temp:Tctl,0",Frequency:Avg,Frequency:Core 0,Frequency:Core 1,Frequency:Core 2,Frequency:Core 3,Frequency:Core 4,Frequency:Core 5,Frequency:Core 6,Frequency:Core 7,Frequency:Core 8,Frequency:Core 9,Frequency:Core 10,Frequency:Core 11,Util:Avg,Util:Core 0,Util:Core 1,Util:Core 2,Util:Core 3,Util:Core 4,Util:Core 5,Util:Core 6,Util:Core 7,Util:Core 8,Util:Core 9,Util:Core 10,Util:Core 11
2025-06-26_16:53:22,33.0,37.2,2970.2,2969.9,2969.8,2970.0,2970.0,2969.9,2969.9,2969.9,2970.0,2970.0,2969.9,2969.9,2970.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2025-06-26_16:53:24,33.0,37.2,2958.9,2969.7,2969.5,2969.7,2969.6,2969.7,2969.6,2969.7,2969.7,2969.7,2969.6,2969.7,2969.7,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2025-06-26_16:53:26,33.0,37.2,2971.2,2957.6,2957.3,2957.6,2957.5,2957.6,2957.5,2957.6,2957.5,2957.6,2957.6,2957.6,2957.5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2025-06-26_16:53:28,33.0,37.4,2971.1,2972.1,2972.1,2972.1,2972.1,2972.1,2972.1,2972.1,2969.2,2972.1,2972.1,2972.1,2972.1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2025-06-26_16:53:30,33.0,37.4,2964.3,2965.7,2965.6,2965.8,2965.6,2965.7,2965.6,2965.6,2964.1,2965.8,2965.7,2965.7,2965.7,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2025-06-26_16:53:32,33.0,37.5,2972.9,2973.2,2973.2,2973.2,2973.2,2973.2,2973.2,2973.2,2972.8,2973.2,2973.2,2973.2,2973.2,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2025-06-26_16:53:34,33.0,37.5,2969.5,2969.9,2969.8,2969.9,2969.9,2969.9,2969.8,2969.9,2969.7,2969.9,2969.8,2969.8,2969.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2025-06-26_16:53:36,33.0,37.5,2971.3,2972.0,2972.0,2972.0,2972.0,2972.0,2972.1,2972.0,2971.8,2972.0,2972.0,2972.0,2972.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2025-06-26_16:53:38,33.0,37.5,2971.7,2972.5,2972.5,2972.5,2972.5,2972.5,2972.5,2972.5,2972.3,2972.5,2972.5,2972.5,2972.5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2025-06-26_16:53:40,33.0,37.5,2972.2,2972.3,2972.2,2972.3,2972.3,2972.3,2972.3,2972.2,2970.1,2972.2,2972.3,2972.3,2972.3,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2025-06-26_16:53:42,33.0,37.5,2970.6,2970.7,2969.9,2970.7,2970.7,2970.7,2970.7,2970.7,2970.7,2970.7,2970.7,2970.7,2970.7,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2025-06-26_16:53:44,33.0,37.5,2971.6,2972.0,2972.0,2972.0,2972.0,2972.0,2972.0,2972.0,2971.9,2972.0,2972.0,2972.0,2972.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2025-06-26_16:53:46,32.0,37.5,2972.9,2971.6,2971.6,2971.6,2971.6,2971.6,2971.6,2971.6,2971.4,2971.6,2971.6,2971.5,2971.6,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2025-06-26_16:53:48,33.0,37.5,2959.1,2972.0,2972.1,2972.0,2972.0,2972.0,2972.2,2972.0,2972.0,2972.1,2972.0,2972.0,2972.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2025-06-26_16:53:50,33.0,37.6,2972.7,2972.8,2972.8,2972.8,2972.8,2972.8,2972.8,2972.8,2972.6,2972.8,2972.8,2972.8,2972.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2025-06-26_16:53:52,33.0,37.6,2972.7,2972.8,2972.8,2972.8,2972.8,2972.8,2972.8,2972.8,2971.1,2972.8,2972.8,2972.8,2972.7,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2025-06-26_16:53:54,34.0,37.6,2970.8,2970.3,2970.3,2970.3,2970.3,2970.3,2970.3,2970.3,2970.0,2970.3,2970.3,2970.3,2970.3,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2025-06-26_16:53:56,33.0,37.2,3001.9,3007.0,3007.0,3007.0,3007.0,2976.4,3007.0,3007.0,2975.4,3007.0,3007.0,3007.0,3007.0,44.0,43.8,44.0,44.0,44.3,44.3,44.3,43.8,44.3,43.8,44.0,44.0,44.1
2025-06-26_16:53:58,33.0,36.5,3004.4,3007.0,3007.0,3007.0,2975.4,3007.0,3007.0,3007.0,3007.0,3007.0,3007.0,3007.0,3007.0,0.2,0.0,0.0,1.5,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
2025-06-26_16:54:00,32.0,36.0,3002.2,3007.0,3007.0,3007.0,2976.7,2979.3,3007.0,3007.0,3007.0,3007.0,3007.0,3007.0,3007.0,0.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-26_16:54:02,33.0,35.6,3002.2,3007.0,3007.0,3007.0,2976.9,2979.9,3007.0,3007.0,3007.0,3007.0,3007.0,3007.0,3007.0,0.2,1.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
2025-06-26_16:54:04,33.0,35.4,3002.2,3007.0,3007.0,3007.0,2976.3,3007.0,3007.0,3007.0,3007.0,2980.2,3007.0,3007.0,3007.0,0.5,0.5,1.5,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2025-06-26_16:54:06,32.0,35.0,3004.7,3007.0,3007.0,3007.0,2978.2,2980.0,3007.0,3007.0,3007.0,3007.0,3007.0,3007.0,3007.0,0.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-26_16:54:08,33.0,34.9,3002.4,3007.0,3007.0,3007.0,2977.6,2979.0,3007.0,3007.0,3007.0,3007.0,3007.0,3007.0,3007.0,0.2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-26_16:54:10,33.0,34.6,3004.5,3007.0,3007.0,3007.0,2976.2,3007.0,3007.0,3007.0,3007.0,3007.0,3007.0,3007.0,3007.0,0.1,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5
2025-06-26_16:54:12,32.0,34.5,3002.1,3007.0,3007.0,3007.0,2976.0,2978.9,3007.0,3007.0,3007.0,3007.0,3007.0,3007.0,3007.0,0.1,0.5,0.0,0.0,1.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0
