Time,CPU_Total,Memory_Used_GB,Disk_Read_MB,Disk_Write_MB,Net_Sent_MB,Net_Recv_MB
1749653191,0.9,1.8446769714355469,0.0,0.0,0.0,0.0003948211669921875
1749653192,1.0,1.8449172973632812,0.0,0.0,0.0,0.000171661376953125
1749653193,1.0,1.8422813415527344,0.0,0.0703125,0.0,0.00011444091796875
1749653194,0.8,1.8418006896972656,0.0,0.0,0.0,0.00027370452880859375
1749653195,0.9,1.84130859375,0.0,0.0,0.0,0.00041103363037109375
1749653196,0.9,1.8415412902832031,0.0,0.0,0.0,0.00026226043701171875
1749653197,0.9,1.8410606384277344,0.0,0.0390625,0.0,0.00011444091796875
1749653198,0.9,1.840087890625,0.0,0.0,0.0,0.000171661376953125
1749653200,1.0,1.8400840759277344,0.0,0.0,0.0,0.000171661376953125
1749653201,1.0,1.83984375,0.0,0.0,0.0,0.0002803802490234375
1749653202,0.9,1.8388748168945312,0.0,0.0,0.0,0.00011444091796875
1749653203,1.0,1.8388710021972656,0.0,0.0390625,0.0,0.0013751983642578125
1749653204,0.9,1.8386306762695312,0.0,0.0,0.0,0.00164031982421875
1749653205,0.8,1.8381500244140625,0.0,0.0478515625,0.0,0.0
1749653206,0.9,1.8376693725585938,0.0,4.9931640625,0.0,0.00041103363037109375
1749653207,2.7,1.8369140625,0.0,0.0,0.0,0.00014781951904296875
1749653208,1.1,1.8369102478027344,0.0,0.0,0.0,0.000324249267578125
1749653209,1.0,1.8364295959472656,0.0,0.03125,0.0,0.00027370452880859375
1749653210,1.0,1.8353996276855469,0.0,0.0,0.0,5.7220458984375e-05
1749653211,1.8,1.8351516723632812,0.0,0.0,0.0,0.002277374267578125
1749653212,0.9,1.8349113464355469,0.0,0.0,0.0,5.7220458984375e-05
1749653213,0.8,1.8349151611328125,0.0,0.0,0.0,0.000171661376953125
1749653214,1.7,1.8344345092773438,0.0,0.0,0.0,0.0002288818359375
1749653215,1.0,1.8362350463867188,0.0,0.046875,8.58306884765625e-05,0.000385284423828125
1749653216,0.8,1.8359718322753906,0.0,0.0,0.000171661376953125,0.00060272216796875
1749653217,1.0,1.8336181640625,0.0,0.0,8.58306884765625e-05,0.000225067138671875
1749653218,1.5,1.8315658569335938,0.0,0.0,0.0,5.7220458984375e-05
1749653219,0.8,1.831298828125,0.0,0.0,0.0,0.000171661376953125
1749653220,0.9,1.8305778503417969,0.0,0.0,5.7220458984375e-05,0.000171661376953125
1749653221,0.9,1.8300971984863281,0.0,0.0390625,0.0,0.0003948211669921875
1749653222,0.8,1.82861328125,0.0,0.0,0.0,0.0008592605590820312
1749653223,0.9,1.8322830200195312,0.0,0.0,0.0,0.00011444091796875
1749653224,0.8,1.8317985534667969,0.0,0.0,0.0,0.00027370452880859375
1749653225,1.6,1.8317985534667969,0.0,0.0,0.0,0.0007581710815429688
1749653226,0.8,1.8283119201660156,0.0,0.0,0.0,0.00037384033203125
1749653228,0.9,1.8278274536132812,0.0,0.046875,0.0,0.00034427642822265625
1749653229,0.9,1.8268470764160156,0.0,0.0,0.0,0.00011444091796875
1749653230,0.8,1.82635498046875,0.0,0.0,0.0,0.000438690185546875
1749653231,1.0,1.8268318176269531,0.0,0.0,0.0,0.0004520416259765625
1749653232,0.8,1.8263511657714844,0.0,0.0,0.0,0.000457763671875
1749653233,0.9,1.8253822326660156,0.0,0.0,0.0,0.0002288818359375
1749653234,0.9,1.82537841796875,0.0,0.03125,0.0,0.0002288818359375
1749653235,1.5,1.8248939514160156,0.0,0.0068359375,0.0,0.00011444091796875
1749653236,0.8,1.8244094848632812,0.0,0.0068359375,0.0,0.000980377197265625
1749653237,1.1,1.8241691589355469,0.0,0.0,0.0,0.00031948089599609375
1749653238,1.4,1.8253707885742188,0.0,0.07421875,0.0,0.00011444091796875
1749653239,1.0,1.8251266479492188,0.0,0.0,0.0,0.00033092498779296875
1749653240,0.8,1.8246421813964844,0.0,0.0,0.0,0.0
1749653241,0.7,1.8244056701660156,0.0,0.0,0.0,0.0003376007080078125
1749653242,1.1,1.8248863220214844,0.0,0.0,0.0,0.0
1749653243,0.8,1.82440185546875,0.0,0.046875,0.0,0.00011444091796875
1749653244,1.5,1.8332290649414062,0.0,0.0,0.0,5.7220458984375e-05
1749653245,0.8,1.8320083618164062,0.0,0.0,0.0,0.0001850128173828125
1749653246,1.0,1.8315238952636719,0.0,0.0,0.0,0.00081634521484375
